concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
nf_ct_11,Nils you are my true inspiration thank you I love you ,,,,X,,
moby_ct_93,@Er C You look bad :grinning_face_with_sweat:,,,,,,
air_ct_390,youre my playground love,X,,x,,,
air_ct_199,:eyes-pink-heart-shape:,X,,,,,
moby_ct_495,:smiling_face_with_hearts:,X,,,,,
air_ct_224,"VAMOS SUGA NO METH NO COCAINE, NOT STUPID SHIT IN UR BODY JUST #LOVE UFC306",X,,x,,,
moby_ct_148,we need the strings...,,,x,,,
nf_ct_136,This is the best parttttt,X,,,,,
moby_ct_5,All profits for play25 shows going to charity,,,,,,
air_ct_9,*Would be listening to Air forever ,,,,X,,
moby_ct_163,Excellent arrangements that make me vibrate :musical_keyboard:,X,,x,,,
air_ct_393,Love is in the AIR,X,,,,,
nf_ct_13,is this magic?,X,,,,,
moby_ct_504,:hand-orange-covering-eyes:,,,,,X,
moby_ct_439,he has a vegan restaurant in LA - all revenue goes to animal rights organizations too <3,,,,X,,
air_ct_86,:person-turqouise-waving::person-turqouise-waving::person-turqouise-waving:,X,,,,X,
nf_ct_39,Saw him live 3 times-,,,,X,,
air_ct_473,breathtaking,X,,,,,
air_ct_533,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_538,:hand-pink-waving:,X,,,,X,
air_ct_242,A best of i think @Doughnut Doney ,,,,,,
moby_ct_371,"if this keeps up, hips will be swinging next",X,,,,X,
nf_ct_58,The song is on Youtube @Lizbeth Ajuria ,,,x,,,
moby_ct_291,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
nf_ct_97,and yes there are some subs under the wedges that i didn't see at first :),,,x,,,
nf_ct_168,and we've got Nils'es old sparring mate Olafur Arnold's Kiasmos ... And I'd hope you're all fans of Pete Namlook and the `Darkside If The Moog' series...,,,,X,,
nf_ct_84,"correction, he might have two small subs as a part of the monitors which makes sense... he doesn't have IEMs or headphones and wants to feel / hear what he's playing... don't know what the big deal is",,,x,X,,
air_ct_184,Universe,,,,,,
air_ct_488,I was there. Mind blowing brilliance. loved every second and didnt want it to end. Thank you Air x,X,,,X,,
moby_ct_608,:raised_fist::raised_fist::raised_fist::raised_fist:,X,,,,X,
moby_ct_599,thanks for this @ARTE Concert love for everyone :red_heart: ,x,,,,,
sting_ct_60,thanks Arte,,,,,,
air_ct_272,this is the one 4me :dashing_away::dashing_away:,X,,,,,
moby_ct_499, :raising_hands::collision::raising_hands::collision::raising_hands:,X,,,,X,
moby_ct_553,true classic of electronic music,X,,x,,,
moby_ct_39,SO excited! It's finally Moby Nite,X,,,,,
air_ct_363,great track,X,,x,,,
air_ct_16,come on then,,,,,,
air_ct_48,trop bon,,,,,,
moby_ct_686,GO VEGAN :red_heart: ,,,,X,,
air_ct_35,top,X,,,,,
air_ct_548,thank you arte :),,,,,,
moby_ct_544,:bomb::bomb::bomb::bomb::bomb:,X,,,,,
air_ct_342,:cherry_blossom::cherry_blossom::cherry_blossom:,X,,x,,,
moby_ct_114,trop beau,,,,,,
nf_ct_180,I love this part.,X,,,,,
moby_ct_510,ARTE is the best,,,,,,
moby_ct_370,yeah head nodding too now,X,,,,X,
sting_ct_51,happy happy :star_struck::smiling_face_with_hearts::red_heart::red_heart::red_heart:,X,,,,,
moby_ct_284,who else feels like we're being shined on by a beautiful light right now?,X,,,,,
moby_ct_476,Remember when Moby was techno music,,,x,X,,
air_ct_147,Cool :face-red-heart-shape:,X,,,,,
moby_ct_131,Mouaif...bof bof,,,,,,
moby_ct_238,"oh ., I love the live version of ""Waiting for the Barbarians"" by Laurie Anderson on YT is fekn phenomenal :musical_notes:",X,,x,,,
moby_ct_12,still happy we can enjoy some of the concert,X,,,,,
nf_ct_153,"Ahmazing!! :smiling_face_with_heart_eyes: Thank you, Nils and thank you, Arte Concert! :smiling_face_with_smiling_eyes:",X,,,,,
moby_ct_358,:elbowcough::elbowcough:,,,,,,
moby_ct_634,GO VEGAN :red_heart: ,X,,,X,,
moby_ct_480,"""\_:face-blue-heart-eyes:_/""""\_:face-purple-wide-eyes:_/""",X,,,,,
air_ct_470,:two_hearts::two_hearts::two_hearts::two_hearts:,X,,,,,
air_ct_397,Air is breathable,,,,,,
moby_ct_62,hola Moby :face_blowing_a_kiss:,X,,,,,
sting_ct_39,TY Arte concert for the great message full of hope and love !:red_heart::red_heart::red_heart:,X,,,,,
moby_ct_563,Moby sweats E,,,,,,
air_ct_81,My fav track by them is sadly not on this album :(,,X,x,X,,
moby_ct_98,Kris Russel how fantastic,X,,,,,
air_ct_157,:eyes-pink-heart-shape:,X,,,,,
moby_ct_151,:eyes-pink-heart-shape: this bit is magical :eyes-pink-heart-shape:,X,,,,,
air_ct_230,"best way to stay off drugs, Latins",,,,,,
moby_ct_554,:peace_symbol::peace_symbol::peace_symbol::peace_symbol::peace_symbol::peace_symbol::peace_symbol::peace_symbol:,X,,,,,
nf_ct_203,:red_heart:,X,,,,,
air_ct_67,this is perfect ,X,,,,,
air_ct_392,:musical_keyboard: :musical_keyboard: :musical_keyboard:,,,,,,
moby_ct_587,:raising_hands::raising_hands::raising_hands::raising_hands::raising_hands:,X,,,,X,
air_ct_30,Great song to start with :two_hearts:,X,,x,,,
nf_ct_194,i always love that piece,X,,x,,,
nf_ct_187,":astonished_face: ., ""shit"" ¿ the lad needs to get a vocabulary that's a bit more descriptive! As to the texture and colours that the ""shit"" may evoke.,:winking_face::winking_face_with_tongue:",,x,,,,
nf_ct_161,stupid people think they're smarter than they are,,,,,,
moby_ct_160,"There you go, the reversed string sample",,,x,,,
nf_ct_49,"Thanks for the recording, ARTE ",,,,,,
